Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	Q00610	Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5	FAUX	339.79	40	52	178	52	1675	191.5	5.69	625.19	52	"cell differentiation;cell division;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;endosome;membrane;vacuole"	"protein binding;RNA binding;structural molecule activity"	Pf00637, Pf01394, Pf04053, Pf09268, Pf13838	1213	ENSG00000141367.11	CLTC	17	"Lysosome; Endocytosis; Huntington's disease; Endocrine and other factor-regulated calcium reabsorption; Bacterial invasion of epithelial cells; Synaptic vesicle cycle"	"Cargo recognition for clathrin-mediated endocytosis; Formation of annular gap junctions; Golgi Associated Vesicle Biogenesis; Recycling pathway of L1; LDL clearance; Lysosome Vesicle Biogenesis; EPH-ephrin mediated repulsion of cells; Entry of Influenza Virion into Host Cell via Endocytosis; Retrograde neurotrophin signalling; VLDLR internalisation and degradation; WNT5A-dependent internalization of FZD2, FZD5 and ROR2; MHC class II antigen presentation; WNT5A-dependent internalization of FZD4"	"Synaptic Vesicle Pathway; VEGFA-VEGFR2 Signaling Pathway; Complement and Coagulation Cascades"	50	1.218	1.046	0.869	0.28	0.07	-0.2	0.354964731	0.789681566	0.889030917	0.828495757	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P06733	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	FAUX	339.2	71	23	188	20	434	47.1	7.39	718.78	23	"metabolic process;regulation of biological process;response to stimulus"	"cell surface;cytoplasm;cytosol;membrane;nucleus"	"catalytic activity;DNA binding;metal ion binding;protein binding;RNA binding"	Pf00113, Pf03952, Pf13378	2023	ENSG00000074800.13	ENO1	1	"HIF-1 signaling pathway; Carbon metabolism; Glycolysis / Gluconeogenesis; RNA degradation; Biosynthesis of amino acids; Metabolic pathways"	"Gluconeogenesis; Glycolysis"	Glycolysis and Gluconeogenesis	12	1.289	1.059	0.821	0.37	0.08	-0.28	0.20490008	0.764116993	0.727615724	0.644059633	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	FAUX	334.578	20	82	182	82	4646	532.1	6.4	529.14	82	"cell division;cell organization and biogenesis;cellular component movement;regulation of biological process;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen"	"catalytic activity;motor activity;nucleotide binding;protein binding;RNA binding"	Pf00769, Pf03028, Pf03915, Pf04156, Pf07246, Pf07728, Pf08385, Pf08393, Pf12774, Pf12775, Pf12777, Pf12780, Pf12781, Pf13173, Pf13207, Pf13401	1778	ENSG00000197102.10	DYNC1H1	14	"Phagosome; Salmonella infection; Vasopressin-regulated water reabsorption"	"COPI-independent Golgi-to-ER retrograde traffic; Regulation of PLK1 Activity at G2/M Transition; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Recruitment of NuMA to mitotic centrosomes; Recruitment of mitotic centrosome proteins and complexes; Loss of Nlp from mitotic centrosomes; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Neutrophil degranulation; Separation of Sister Chromatids; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; COPI-mediated anterograde transport; MHC class II antigen presentation; HSP90 chaperone cycle for steroid hormone receptors (SHR)"		50	1.125	0.878	0.806	0.17	-0.19	-0.31	0.656618766	0.826157027	0.677550586	0.967389293	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	FAUX	328.569	55	42	190	22	892	103	5.41	649.62	42	"cell differentiation;cell organization and biogenesis;regulation of biological process;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen"	"metal ion binding;protein binding;RNA binding"	Pf00036, Pf00307, Pf00435, Pf08726, Pf11971, Pf13405, Pf13499	87	ENSG00000072110.13	ACTN1	14	"Viral carcinogenesis; Amoebiasis; Arrhythmogenic right ventricular cardiomyopathy (ARVC); Tight junction; Focal adhesion; Adherens junction; Regulation of actin cytoskeleton; Leukocyte transendothelial migration; Systemic lupus erythematosus"	"Platelet degranulation ; Nephrin family interactions; Regulation of cytoskeletal remodeling and cell spreading by IPP complex components; Syndecan interactions"	"Arrhythmogenic Right Ventricular Cardiomyopathy; Focal Adhesion; Regulation of Actin Cytoskeleton"	24	0.945	1.12	1.205	-0.08	0.16	0.27	0.54178187	0.649279419	0.293169352	0.927043507	0.985984329	0.862689998	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P60709	Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1	FAUX	321.378	72	21	398	8	375	41.7	5.48	1154.36	21	"cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	"DNA binding;nucleotide binding;protein binding;structural molecule activity"	Pf00022	60	ENSG00000075624.13	ACTB	7	"Arrhythmogenic right ventricular cardiomyopathy (ARVC); Tight junction; Pathogenic Escherichia coli infection; Dilated cardiomyopathy; Hippo signaling pathway; Rap1 signaling pathway; Oxytocin signaling pathway; Thyroid hormone signaling pathway; Phagosome; Apoptosis; Focal adhesion; Proteoglycans in cancer; Salmonella infection; Adherens junction; Regulation of actin cytoskeleton; Leukocyte transendothelial migration; Gastric acid secretion; Bacterial invasion of epithelial cells; Vibrio cholerae infection; Viral myocarditis; Influenza A; Hypertrophic cardiomyopathy (HCM); Platelet activation; Shigellosis"	"Formation of annular gap junctions; Cell-extracellular matrix interactions; UCH proteinases; MAP2K and MAPK activation; Interaction between L1 and Ankyrins; Factors involved in megakaryocyte development and platelet production; Translocation of GLUT4 to the plasma membrane; EPH-ephrin mediated repulsion of cells; Prefoldin mediated transfer of substrate  to CCT/TriC; EPHB-mediated forward signaling; Paradoxical activation of RAF signaling by kinase inactive BRAF; Folding of actin by CCT/TriC; DNA Damage Recognition in GG-NER; Regulation of actin dynamics for phagocytic cup formation; Interleukin-20 family signaling; Signaling by BRAF and RAF fusions; Clathrin-mediated endocytosis; VEGFA-VEGFR2 Pathway; HATs acetylate histones; RHO GTPases activate IQGAPs; Recycling pathway of L1; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; Adherens junctions interactions; RHO GTPases Activate WASPs and WAVEs; RHO GTPases Activate Formins; B-WICH complex positively regulates rRNA expression"	"Arrhythmogenic Right Ventricular Cardiomyopathy; Pathogenic Escherichia coli infection; Common Pathways Underlying Drug Addiction; Myometrial Relaxation and Contraction Pathways; Focal Adhesion; Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation; Regulation of Actin Cytoskeleton"	102	1.04	0.776	0.754	0.06	-0.37	-0.41	0.976551928	0.575348061	0.510017483	0.998387812	0.962609766	0.964611673	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P18206	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	FAUX	311.321	53	59	184	59	1134	123.7	5.66	523.63	59	"cell growth;cell organization and biogenesis;cellular component movement;regulation of biological process;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen"	"protein binding;structural molecule activity"	Pf01044	7414	ENSG00000035403.17	VCL	10	"Amoebiasis; Focal adhesion; Adherens junction; Regulation of actin cytoskeleton; Leukocyte transendothelial migration; Bacterial invasion of epithelial cells; Shigellosis"	"Signaling by BRAF and RAF fusions; MAP2K and MAPK activation; Smooth Muscle Contraction; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; Platelet degranulation ; Paradoxical activation of RAF signaling by kinase inactive BRAF; Neutrophil degranulation; Interleukin-20 family signaling"	"Integrin-mediated Cell Adhesion; Primary Focal Segmental Glomerulosclerosis FSGS; Focal Adhesion; VEGFA-VEGFR2 Signaling Pathway; Regulation of Actin Cytoskeleton"	37	1.204	1.068	0.886	0.27	0.1	-0.17	0.392395633	0.745704022	0.946184515	0.85651542	0.990871106	0.998381698	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O75369	Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2	FAUX	308.443	31	67	181	52	2602	278	5.73	489.51	67	"cell differentiation;cell organization and biogenesis;development;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	"protein binding;RNA binding"	Pf00307, Pf00630	2317	ENSG00000136068.14	FLNB	3	"MAPK signaling pathway; Focal adhesion; Proteoglycans in cancer; Salmonella infection"	ISG15 antiviral mechanism	VEGFA-VEGFR2 Signaling Pathway	10	1.047	1.055	0.992	0.07	0.08	-0.01	0.990226723	0.771712916	0.731903939	0.998387812	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q99715	Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2	FAUX	304.292	27	62	169	62	3063	332.9	5.53	470.37	62	"cell differentiation;cell organization and biogenesis;metabolic process"	"extracellular;organelle lumen"	"protein binding;structural molecule activity"	Pf00041, Pf00092, Pf13519	1303	ENSG00000111799.20	COL12A1	6	Protein digestion and absorption	"Collagen degradation; Assembly of collagen fibrils and other multimeric structures; Collagen chain trimerization"		8	2.393	2.647	1.046	1.26	1.4	0.06	5.38139E-07	0.004580225	0.593052994	1.14583E-05	0.065427646	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P01023	Alpha-2-macroglobulin OS=Homo sapiens OX=9606 GN=A2M PE=1 SV=3	FAUX	304.138	40	44	168	44	1474	163.2	6.46	535.14	44	"cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytosol;extracellular;organelle lumen"	"enzyme regulator activity;protein binding"	Pf00207, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974, Pf13249	2	ENSG00000175899.14	A2M	12	Complement and coagulation cascades	"Platelet degranulation ; Degradation of the extracellular matrix; Rho GTPase cycle; HDL assembly; Intrinsic Pathway of Fibrin Clot Formation"	Complement and Coagulation Cascades	17	0.523	0.639	1.18	-0.93	-0.65	0.24	2.85027E-05	0.272571168	0.329151282	0.000447452	0.854100795	0.901570926	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	FAUX	300.456	80	24	192	3	445	49.8	4.89	635.09	24	"cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen"	"catalytic activity;nucleotide binding;protein binding;RNA binding;structural molecule activity"	Pf00091, Pf03953, Pf10644	10383	ENSG00000188229.5	TUBB4B	9	"Pathogenic Escherichia coli infection; Gap junction; Phagosome"	"COPI-independent Golgi-to-ER retrograde traffic; COPI-dependent Golgi-to-ER retrograde traffic; Carboxyterminal post-translational modifications of tubulin; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Hedgehog 'off' state; Loss of Nlp from mitotic centrosomes; Translocation of GLUT4 to the plasma membrane; Prefoldin mediated transfer of substrate  to CCT/TriC; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Neutrophil degranulation; Separation of Sister Chromatids; COPI-mediated anterograde transport; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); Kinesins; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Formation of tubulin folding intermediates by CCT/TriC; RHO GTPases activate IQGAPs; Recruitment of mitotic centrosome proteins and complexes; Recycling pathway of L1; Resolution of Sister Chromatid Cohesion; Intraflagellar transport; Post-chaperonin tubulin folding pathway; RHO GTPases Activate Formins; MHC class II antigen presentation"	"Pathogenic Escherichia coli infection; Parkin-Ubiquitin Proteasomal System pathway"	74	1.103	0.844	0.696	0.14	-0.24	-0.52	0.717808721	0.743162155	0.341235966	0.982227132	0.990871106	0.91721857	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P46940	Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1	FAUX	296.498	37	48	153	48	1657	189.1	6.48	508.09	48	"cell growth;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	"enzyme regulator activity;metal ion binding;protein binding"	Pf00307, Pf00397, Pf00616, Pf03836, Pf11016	8826	ENSG00000140575.12	IQGAP1	15	"Proteoglycans in cancer; Adherens junction; Regulation of actin cytoskeleton"	"Signaling by BRAF and RAF fusions; MAP2K and MAPK activation; RHO GTPases activate IQGAPs; Glucagon-like Peptide-1 (GLP1) regulates insulin secretion; Signaling by RAS mutants; Signaling by high-kinase activity BRAF mutants; Signaling by moderate kinase activity BRAF mutants; Nephrin family interactions; Paradoxical activation of RAF signaling by kinase inactive BRAF; Neutrophil degranulation; Interleukin-20 family signaling"	"VEGFA-VEGFR2 Signaling Pathway; EGF/EGFR Signaling Pathway; Regulation of Actin Cytoskeleton; G13 Signaling Pathway"	35	1.211	1.066	0.878	0.28	0.09	-0.19	0.3733665	0.751070935	0.918976021	0.842422063	0.990871106	0.996998809	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P68363	Tubulin alpha-1B chain OS=Homo sapiens OX=9606 GN=TUBA1B PE=1 SV=1	FAUX	280.271	65	22	179	1	451	50.1	5.06	615.74	22	"cell division;cell organization and biogenesis;response to stimulus;transport"	"cytoplasm;cytoskeleton;membrane"	"catalytic activity;nucleotide binding;protein binding;RNA binding;structural molecule activity"	Pf00091, Pf03953	10376	ENSG00000123416.15	TUBA1B	12	"Pathogenic Escherichia coli infection; Gap junction; Phagosome; Apoptosis"	"COPI-independent Golgi-to-ER retrograde traffic; COPI-dependent Golgi-to-ER retrograde traffic; Carboxyterminal post-translational modifications of tubulin; Recruitment of NuMA to mitotic centrosomes; Hedgehog 'off' state; Translocation of GLUT4 to the plasma membrane; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Separation of Sister Chromatids; COPI-mediated anterograde transport; HSP90 chaperone cycle for steroid hormone receptors (SHR); The role of GTSE1 in G2/M progression after G2 checkpoint; Kinesins; Formation of tubulin folding intermediates by CCT/TriC; RHO GTPases activate IQGAPs; Recycling pathway of L1; Resolution of Sister Chromatid Cohesion; Intraflagellar transport; RHO GTPases Activate Formins; Post-chaperonin tubulin folding pathway; MHC class II antigen presentation"	"Pathogenic Escherichia coli infection; Allograft Rejection; Parkin-Ubiquitin Proteasomal System pathway"	66	0.907	0.431	0.473	-0.14	-1.22	-1.08	0.390993199	0.028534281	0.018470604	0.855937585	0.235043326	0.190356863	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q71U36	Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1	FAUX	277.052	66	23	165	1	451	50.1	5.06	594.54	23	"cell division;cell organization and biogenesis;regulation of biological process;transport"	"cytoplasm;cytoskeleton;cytosol;endosome;membrane;nucleus"	"catalytic activity;nucleotide binding;protein binding;structural molecule activity"	Pf00091, Pf03953	7846	ENSG00000167552.13	TUBA1A	12	"Pathogenic Escherichia coli infection; Gap junction; Phagosome; Apoptosis"	"COPI-independent Golgi-to-ER retrograde traffic; COPI-dependent Golgi-to-ER retrograde traffic; Carboxyterminal post-translational modifications of tubulin; Regulation of PLK1 Activity at G2/M Transition; Recruitment of NuMA to mitotic centrosomes; Hedgehog 'off' state; Loss of Nlp from mitotic centrosomes; Translocation of GLUT4 to the plasma membrane; Prefoldin mediated transfer of substrate  to CCT/TriC; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Separation of Sister Chromatids; COPI-mediated anterograde transport; The role of GTSE1 in G2/M progression after G2 checkpoint; HSP90 chaperone cycle for steroid hormone receptors (SHR); Kinesins; AURKA Activation by TPX2; Anchoring of the basal body to the plasma membrane; Formation of tubulin folding intermediates by CCT/TriC; RHO GTPases activate IQGAPs; Recruitment of mitotic centrosome proteins and complexes; Recycling pathway of L1; Resolution of Sister Chromatid Cohesion; Intraflagellar transport; Post-chaperonin tubulin folding pathway; RHO GTPases Activate Formins; MHC class II antigen presentation"	"Pathogenic Escherichia coli infection; Parkin-Ubiquitin Proteasomal System pathway"	73	1.071	0.487	0.465	0.1	-1.04	-1.11	0.924980005	0.06405539	0.015413542	0.998387812	0.377475236	0.16392166	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	FAUX	275.273	60	34	170	31	654	72.3	5.16	563.05	34	"cell communication;cell death;cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cell surface;cytoplasm;endoplasmic reticulum;membrane;mitochondrion;nucleus;organelle lumen"	"catalytic activity;metal ion binding;nucleotide binding;protein binding"	Pf00012, Pf01968, Pf06723	3309	ENSG00000044574.7	HSPA5	9	"Prion diseases; Protein export; Protein processing in endoplasmic reticulum; Thyroid hormone synthesis; Antigen processing and presentation"	"Platelet degranulation ; PERK regulates gene expression; ATF6 (ATF6-alpha) activates chaperone genes; Antigen Presentation: Folding, assembly and peptide loading of class I MHC; Regulation of HSF1-mediated heat shock response; IRE1alpha activates chaperones"	"Parkin-Ubiquitin Proteasomal System pathway; Apoptosis-related network due to altered Notch3 in ovarian cancer; Photodynamic therapy-induced unfolded protein response; MAPK Signaling Pathway"	27	0.988	2.513	2.625	-0.02	1.33	1.39	0.733210113	0.007108661	9.95141E-05	0.982227132	0.094377923	0.003872473	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
